review_id,review_comment_title,review_comment_message,review_score,product_category_name
97ca439bc427b48bc1cd7177abe71365,,"Perfeito, produto entregue antes do combinado.",5,cool_stuff
0c5b33dea94867d1ac402749e5438e8b,,Chegou antes do prazo previsto e o produto surpreendeu pela qualidade. Muito satisfatório.,5,moveis_decoracao
940144190dcba6351888cafa43f3a3a5,,Gostei pois veio no prazo determinado .,5,ferramentas_jardim
67b1ab8f3ec19d5a90f153f21757d3a1,,"Na descrição do produto quando fui efetuar a compra, estava detalhado os pentes de disfarce.
Quando recebe o produto verifiquei e notei que não havia os pentes 0.5 e 1.5",1,beleza_saude
7e92c32ae297ef950ee69781d9f1760c,,"A caixa do produto veio com uma pequena avariação, mas de resto veio perfeito...",5,beleza_saude
5595c192e3c1566ab4e7a2748b8ed297,,"Fiquei um pouco triste, achei que a cor do coração seria verde, conforme a foto..... Mas depois que recebi o coração cor de rosa que fui ver que são imagens ilustrativas...... 😥",5,fashion_bolsas_e_acessorios
6322c405c0f34bf3ad870fd1a6b1fced,Boa,Excelente serviço de compras on line.,5,cama_mesa_banho
00800678dcf28b0ea0caef2147b6945d,produto não entregue,"Mudo minha opinião assim que receber o produto.
Consta no site que o produto foi entregue, mas não recebi.",1,perfumaria
51b9186876d4708a91786f8517fe7106,,Recebi td certinho antes do prazo! ,5,esporte_lazer
3b9a423bdbe8734ddfeb09bced16e5d9,,Bom produto,3,cool_stuff
06f45fcd8b9b54c30b0de110eb849228,,5,3,cama_mesa_banho
fa2d523cc60173d4889520763a2e4851,,super recomendo,4,fashion_bolsas_e_acessorios
e79b1300216401c0212ab9b5a66372ff,,"Recebi o long 10 dias após a compra, e chegou em perfeito estado. A ilustração é idêntica à imagem do site. O material é de ótima qualidade e o tamanho é perfeito. Recomendo ! ",5,esporte_lazer
08af1a16cca5edd546f4a10b6e87af2e,,"produto como descrito, satisfeitíssima com a compra.",5,moveis_decoracao
4ff9a24999699f7104ed23fec2563351,Super Recomendo,"Produto entregue adequadamente e muito rápido, gostei muito do serviço.",5,alimentos
28e20f3ef22e8795ea14e65f54e087a3,,Entrega muito demorada. Ainda não recebi o produto,1,cama_mesa_banho
164fba09ca80765e400c72749b58c267,,"Adorei, compro novamente!",5,cool_stuff
1e8067a9f38deb9426d4278fa2d213d0,,Produto real.,5,moveis_decoracao
68b49cfcd9420c6ad09af97ea8268e7c,,Loja rápida na entrega. Só houve um incidente pelo fato de não vim o produto escolhido e sim um similar.,4,eletronicos
68b49cfcd9420c6ad09af97ea8268e7c,,Loja rápida na entrega. Só houve um incidente pelo fato de não vim o produto escolhido e sim um similar.,4,eletronicos
68b49cfcd9420c6ad09af97ea8268e7c,,Loja rápida na entrega. Só houve um incidente pelo fato de não vim o produto escolhido e sim um similar.,4,eletronicos
95ae5c0c6595c9f75ddc037cca0596ae,,Entregaram do prazo ,5,construcao_ferramentas_construcao
ed0405017b21b89fe55282aca123eeec,,Tudo ok e dentro do prazo,5,informatica_acessorios
51ebb8fede4fbe6126f9f85ebdd23166,,Entrega prometida 24/05/17. Dia 26/05/17 não havia recebido ainda.,1,beleza_saude
51ebb8fede4fbe6126f9f85ebdd23166,,Entrega prometida 24/05/17. Dia 26/05/17 não havia recebido ainda.,1,beleza_saude
df246bd48fbc0a0c9a7d4979c9192eec,,"Produto aparentemente ótimo, chegou muito antes do prazo estipulado pelo site. Pena que comprei o produto errado ""era para ser bomba submersa com filtro"". Mas, já estou resolvendo tudo quanto a troca.",5,pet_shop
048baba3f11436d12b06dab572aafc21,Pessima,O produto chegou e estragou sozinho,1,beleza_saude
ac2538373fcfab2aff0709fbc7ec69c9,,Muito bom recomendo,5,moveis_decoracao
78412bf6c796b43df999fd87750d28ea,Recomendo,Produto como descrito. Mas não gostei pq o som do alarme é muito baixo.. ,4,audio
82588c155bfa9331acb3f976fe040c4b,,"Otimo vendedor
",4,informatica_acessorios
eba375fa5fe6f3dc7ca2aa6682b46170,sensacional,"ótimo produto, bom acabamento. Para quem está começando nesse estudo sobre o universo, principalmente estudantes é uma ótima ferramenta. Tenho feito vários estudos com o auxilio do telescópio.",5,esporte_lazer
9d69d3d0d3cebcc39eeadb453905388f,,Chegou e está OK.,5,telefonia
ed7cc4092834fc4d48b7d9d125d7c657,,"Adoro comprar com vocês, continuem assim",4,cool_stuff
3e33eee1e8cd67541aec8fbd66a0f6d8,,"Muito bom, so não testei ainda o produto mas super recomendo",5,telefonia
1e364417d579f43eb3ea4f4eafe289db,,ok,4,moveis_decoracao
91048655e4128b6838c0086cf2daddab,,ótimo produto,5,cool_stuff
85da16503a576748ee5544bd8a5b9355,,Produto de bom custo beneficio.,5,papelaria
396eacbff771557619771e8d4b58ee77,,Minha mercadoria não chegou e ninguém entrou em contato para resolver nada...,3,cama_mesa_banho
fb438ee1afd42dc7a34710a4d343917b,,"Comprei dois produtos no mesmo dia, sexta-feira de black friday, no início de dezembro. O jogo de panelas tramontina chegou dentro do prazo, que era até o dia 11-12, mas a pipoqueira ainda não chegou.",1,utilidades_domesticas
ed469dda40b1b7f0660b24aa1b043b57,,Comprei duas mochilas e recebi somente um produto é o valor vocês estão cobrando de dois produtos queto devolução do produto é meu ressarcimento,1,malas_acessorios
ed469dda40b1b7f0660b24aa1b043b57,,Comprei duas mochilas e recebi somente um produto é o valor vocês estão cobrando de dois produtos queto devolução do produto é meu ressarcimento,1,malas_acessorios
2a74b0559eb58fc1ff842ecc999594cb,,"Estou acostumada a comprar produtos pelo baratheon. Super confiável, transparência, qualidade e agilidade. Super recomendo.",5,cama_mesa_banho
5c21268a0f8bae726edb3aa4db3e6bde,Mesa com cavaletes ,"Demora absurda para entrega, dentro do prazo especificado por eles, mas ainda sim muito demorado!",2,moveis_escritorio
16dd1214a6f9a62fa22ad4830aa479c2,,Muito satisfeita com a compra e com a empresa!,5,brinquedos
c91d4ae7473872e0696bcb22a5a92df0,Ótima qualidade,"Produto de ótima qualidade, sabor ótimo. Entregue antes do prazo",5,esporte_lazer
4910a0d41fca570cb921f0090ed5c4f8,Muito rápido a entrega! ,Amei o conj! Foi entregue rápido! O conj é perfeito ,5,utilidades_domesticas
90033a3865e39835ba7e8526f6c8f3de,Bom ,Ótimo ,5,telefonia
4a1c0ecf94443cfa6ff94905bc41cd92,,Chego antes do previsto bem embalado e do jeito que eu pedi,5,relogios_presentes
1c1bb10fd0a3af065ed9b379b5df14c2,,"O relógio, (presente do dia das crianças pra minha filha) Não funciona!!!!!",1,relogios_presentes
7f05ffaf413a01b93e9cbe3e527a91ab,Bom.,"Recebi tudo certinho, recomendo.",5,utilidades_domesticas
ca96cd096375d4c74d0ca1e5cea64e8c,,Produto entregue prazo ,5,consoles_games
2fbe086269247cee60d600c3af62f3e6,,"Não recebi nada, não entraram em contato. Ninguém liga pra informar o que aconteceu.",1,ferramentas_jardim
ed90272bfebd71826ce6620baff11b03,Muito bom fornecedor,Chegou corretamente e antes do prazo! ,5,beleza_saude
e66cfd879876752a96f9c035dbde8e88,Obrigada,"Adorei meu produto, e chegou tudo perfeitamente ",5,perfumaria
c0e9d6955c472cffa14f031b35ea1466,,super recomendo,5,papelaria
dce4884e6e42047bf2e0645ce93ef3a6,,Gostei muito,5,cool_stuff
3a36f699ff17d318607904fc7ac9099d,,bom,3,cama_mesa_banho
3a36f699ff17d318607904fc7ac9099d,,bom,3,cama_mesa_banho
143f6db7fc05f38965da560ef1c44ed3,,Eu comprei 4 agaveas so veio uma,1,alimentos
143f6db7fc05f38965da560ef1c44ed3,,Eu comprei 4 agaveas so veio uma,1,alimentos
143f6db7fc05f38965da560ef1c44ed3,,Eu comprei 4 agaveas so veio uma,1,alimentos
143f6db7fc05f38965da560ef1c44ed3,,Eu comprei 4 agaveas so veio uma,1,alimentos
397312c9f147d1a22bd3108f1d5dd42a,,"Gostei muito, sempre que precisar irei comprar.",5,perfumaria
397312c9f147d1a22bd3108f1d5dd42a,,"Gostei muito, sempre que precisar irei comprar.",5,perfumaria
910aa79b48597f41313a6f1b8d9fd0df,,Muito bom,5,telefonia
b4e8ec7012eef81503df0e1e6c65f281,,"Recebi o produto, porém, veio com defeito. Não funciona, nem se quer liga. Já comprei vários produtos pela Internet, inclusive das Lojas lannister. Estou insatisfeito com este q comprei. ",1,telefonia
287ad282a167c89fe196978cee506bd3,,"Excelente,bonito e ajusta facil no braço. Nao é grande, tem o tamanho ideal e muitas funçoes. Super recomendo.",5,relogios_presentes
3a0b0a0dd1ccb11582eb81e9a0c784ed,,Ainda não recebi todos os produtos,1,brinquedos
3a0b0a0dd1ccb11582eb81e9a0c784ed,,Ainda não recebi todos os produtos,1,bebes
3a0b0a0dd1ccb11582eb81e9a0c784ed,,Ainda não recebi todos os produtos,1,bebes
8cb0fce73190d6aa1872be4099d5ffd2,,Ainda nao foi entregue o produto,3,informatica_acessorios
8278f8f8baf225cb959254c4c73568f3,,Adorei como sempre entrega rápida e produto ótima qualidade. ,5,esporte_lazer
09e73c4728b6052f2a9fd5ee7b6221f8,recomendo,comprei a família incrível em 26/07/2018 e chegou em casa 31/07/2018... me surpreendi!,4,brinquedos
bb9c485f8e2dd38a3af6f38187144722,,"vou comprar de novo , gostei e é excelente os produtos obrigado!",5,relogios_presentes
ea0cadbfcf623003add6a407d65bab59,,"Antes do prazo, porem tive de pegar nos Correios, pois eles não entregaram em casa ",5,eletronicos
0501aab2f381486c36bf0f071442c0c2,,Espero obter uma resposta para minha encomenda. Comprei 3 controles remotos para ar condicionado e apenas recebi 1 controle Komeco e dos 2 controles Elgin pedidos e pago só foi entregue 1 controle Elg,1,climatizacao
0501aab2f381486c36bf0f071442c0c2,,Espero obter uma resposta para minha encomenda. Comprei 3 controles remotos para ar condicionado e apenas recebi 1 controle Komeco e dos 2 controles Elgin pedidos e pago só foi entregue 1 controle Elg,1,climatizacao
857936127ee4d3b8f8f14f6feb4c6e8c,,Produto muito bom e eficiente para quem gosta de andar de bike e precisa de gps.,5,esporte_lazer
ceb8edcfc6a17b16926b7c9acb47abcf,,Atendeu minhas expectativas ,4,relogios_presentes
8ec042451b89064557a26251a05b9549,,"O produto chegou como eu imaginava,por enquanto estou gostando
",4,casa_conforto
6d61a5411b9e9cd49b469a1ca07834c3,,Demorou para entregar e quando chegou veio errado. ,2,beleza_saude
1a01bc45e211acf905d4450d2767533a,,Muito Bom ,5,brinquedos
27ba5e7f4fb966a3caaae8c0a3a208b7,Recomendo!!,Muito bom Produto!!,4,brinquedos
2820a27cb81757fc08f3241188130070,,"Muito lindo, ficou perfeito na minha cama.
",5,moveis_decoracao
8310a5e3eba617e7001736220b7afc51,,"Segunda compra com esta empresa, muito bom o produto e o prazo de entrega sempre antecipado ,muito obrigado!",5,esporte_lazer
11b7d47518bfd0ac4518c1f08c31f3e8,Excelente,"Produto de ótima qualidade,muito fofo e super macio.",5,cama_mesa_banho
8b2fd2ae7be2324182a00e793df5b763,,10!,5,moveis_decoracao
d6c257cefbf86db6eb2f2178ef34137f,,"Achei o prazo bom, mas o frete o olho da cara, mas caro que o produto.",3,telefonia
48a82d740f73ba519ee5faa66c72bc7f,,"Pedi HD 500 GB SATA Notebook Samsung R520

1 unidade - R$ 269,00 cada

 
E recebi Hdd 2,5 Notebook / Desktop Seagate St500lm030 Barracuda 500gb 5400rpm 128mb Sata 6gb/s",2,informatica_acessorios
9ac0d21c5a68db82057a8976875fa61d,,"a Quase 20 dias aparece no rastreamento dificuldade na entrega, ja mandei mensagens e nada fora feito...ja esta em atraso de 5 dias da data prevista e sem providencia do site das lannister..
fazer ",1,informatica_acessorios
e6c8f2ab517ef19dd0a02a771fecc827,,Esperando o produto para avaliar ,1,beleza_saude
fdae91f394183e7509686b6001b769e2,super recomendo,Extrema pontualidade e ótimo produto.,5,brinquedos
fdae91f394183e7509686b6001b769e2,super recomendo,Extrema pontualidade e ótimo produto.,5,brinquedos
6eb22fdbb42ecce1a902bab10ce2520c,,Me entregaram um tapete errado. Estou aguardando providencias,1,cama_mesa_banho
11b501537e4927eec81488bec55ddd17,,foi otimo,5,utilidades_domesticas
3377008b1325b226aed063d454f83fb7,Entrega no prazo,"Meu pedido foi entregue bem antes do prazo, obrigado, super recomendo.",4,relogios_presentes
ea56517f21f9a2ccde6047f836c76fb9,,"Entrega rápida, no prazo. O bebedouro é muito bom.",4,pet_shop
ea56517f21f9a2ccde6047f836c76fb9,,"Entrega rápida, no prazo. O bebedouro é muito bom.",4,pet_shop
fa2ea06b0117bc5461c5f7d963d6c614,Não recebi o produto,Comprei o rímel tango de embalagem vermelha e recebi outro produto. Entrei em contato com a lannister solicitando informações para a troca e até agora ninguém respondeu.,1,perfumaria
ea29724e66e4e0350e60f5fb558fcab0,Recomendo,O produto atendeu minhas necessidades,4,automotivo
561e2666963db41f0c7058dbd85e688f,,"Tudo ok
",5,cool_stuff
2a79a4d7ec16eeb80e0ff177d051db34,,Não recebi o produto liquid koolbloom,1,ferramentas_jardim
